DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y_GE90,T,NR,HR,2000-W06,104,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y_LT5,T,NR,HR,2000-W06,9,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,TOTAL,T,NR,HR,2000-W07,1084,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,UNK,T,NR,HR,2000-W07,0,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y10-14,T,NR,HR,2000-W07,1,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y15-19,T,NR,HR,2000-W07,2,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y20-24,T,NR,HR,2000-W07,5,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y25-29,T,NR,HR,2000-W07,4,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y30-34,T,NR,HR,2000-W07,7,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y35-39,T,NR,HR,2000-W07,7,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y40-44,T,NR,HR,2000-W07,12,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y45-49,T,NR,HR,2000-W07,19,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y5-9,T,NR,HR,2000-W07,2,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y50-54,T,NR,HR,2000-W07,26,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y55-59,T,NR,HR,2000-W07,40,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y60-64,T,NR,HR,2000-W07,87,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y65-69,T,NR,HR,2000-W07,140,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y70-74,T,NR,HR,2000-W07,177,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y75-79,T,NR,HR,2000-W07,198,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y80-84,T,NR,HR,2000-W07,124,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y85-89,T,NR,HR,2000-W07,143,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y_GE90,T,NR,HR,2000-W07,89,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y_LT5,T,NR,HR,2000-W07,1,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,TOTAL,T,NR,HR,2000-W08,1156,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,UNK,T,NR,HR,2000-W08,0,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y10-14,T,NR,HR,2000-W08,2,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y15-19,T,NR,HR,2000-W08,2,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y20-24,T,NR,HR,2000-W08,1,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y25-29,T,NR,HR,2000-W08,5,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y30-34,T,NR,HR,2000-W08,6,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y35-39,T,NR,HR,2000-W08,16,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y40-44,T,NR,HR,2000-W08,23,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y45-49,T,NR,HR,2000-W08,33,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y5-9,T,NR,HR,2000-W08,1,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y50-54,T,NR,HR,2000-W08,36,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y55-59,T,NR,HR,2000-W08,52,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y60-64,T,NR,HR,2000-W08,88,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y65-69,T,NR,HR,2000-W08,148,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y70-74,T,NR,HR,2000-W08,170,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y75-79,T,NR,HR,2000-W08,207,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y80-84,T,NR,HR,2000-W08,116,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y85-89,T,NR,HR,2000-W08,179,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y_GE90,T,NR,HR,2000-W08,66,
ESTAT:DEMO_R_MWK_05(1.0),17/01/23 23:00:00,W,Y_LT5,T,NR,HR,2000-W08,5,
